id,tokens,pos_tags,chunk_tags,ner_tags
0,"['CRICKET' '-' 'LEICESTERSHIRE' 'TAKE' 'OVER' 'AT' 'TOP' 'AFTER' 'INNINGS'
 'VICTORY' '.']",[22  8 22 22 15 22 22 22 22 21  7],[11  0 11 12 13 11 12 12 12 12  0],[0 0 3 0 0 0 0 0 0 0 0]
1,['LONDON' '1996-08-30'],[22 11],[11 12],[5 0]
2,"['West' 'Indian' 'all-rounder' 'Phil' 'Simmons' 'took' 'four' 'for' '38'
 'on' 'Friday' 'as' 'Leicestershire' 'beat' 'Somerset' 'by' 'an' 'innings'
 'and' '39' 'runs' 'in' 'two' 'days' 'to' 'take' 'over' 'at' 'the' 'head'
 'of' 'the' 'county' 'championship' '.']","[22 22 21 22 22 38 11 15 11 15 22 15 22 38 22 15 12 21 10 11 24 15 11 24
 35 37 15 15 12 21 15 12 21 21  7]","[11 12 12 12 12 21 11 13 11 13 11 13 11 21 11 13 11 12  0 11 12 13 11 12
 21 22 13 13 11 12 13 11 12 12  0]",[7 8 0 1 2 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,"['Their' 'stay' 'on' 'top' ',' 'though' ',' 'may' 'be' 'short-lived' 'as'
 'title' 'rivals' 'Essex' ',' 'Derbyshire' 'and' 'Surrey' 'all' 'closed'
 'in' 'on' 'victory' 'while' 'Kent' 'made' 'up' 'for' 'lost' 'time' 'in'
 'their' 'rain-affected' 'match' 'against' 'Nottinghamshire' '.']","[29 21 15 21  6 30  6 20 37 16 15 21 24 22  6 22 10 22 12 38 33 15 21 15
 22 38 33 15 40 21 15 29 16 21 15 22  7]","[11 12 13 11  0  3  0 21 22  1 13 11 12 12  0 11 12 12  0 21 15 13 11 17
 11 21 15 13 11 12 13 11 12 12 13 11  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0]
4,"['After' 'bowling' 'Somerset' 'out' 'for' '83' 'on' 'the' 'opening'
 'morning' 'at' 'Grace' 'Road' ',' 'Leicestershire' 'extended' 'their'
 'first' 'innings' 'by' '94' 'runs' 'before' 'being' 'bowled' 'out' 'for'
 '296' 'with' 'England' 'discard' 'Andy' 'Caddick' 'taking' 'three' 'for'
 '83' '.']","[15 39 22 33 15 11 15 12 21 21 15 22 22  6 22 38 29 16 21 15 11 42 15 39
 38 33 15 11 15 22 41 22 22 39 11 15 11  7]","[13 11 12 15 13 11 13 11 12 12 13 11 12  0 11 21 11 12 12 13 11 21 13 21
 22 15 13 11 13 11 21 11 12 21 11 13 11  0]","[0 0 3 0 0 0 0 0 0 0 0 5 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 1 2 0 0 0 0
 0]"
5,"['Trailing' 'by' '213' ',' 'Somerset' 'got' 'a' 'solid' 'start' 'to'
 'their' 'second' 'innings' 'before' 'Simmons' 'stepped' 'in' 'to'
 'bundle' 'them' 'out' 'for' '174' '.']",[39 15 11  6 22 38 12 16 21 35 29 16 21 15 22 38 33 35 37 28 30 15 11  7],[21 13 11  0 11 21 11 12 12 13 11 12 12 13 11 21 15 21 22 11  3 13 11  0],[0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
6,"['Essex' ',' 'however' ',' 'look' 'certain' 'to' 'regain' 'their' 'top'
 'spot' 'after' 'Nasser' 'Hussain' 'and' 'Peter' 'Such' 'gave' 'them' 'a'
 'firm' 'grip' 'on' 'their' 'match' 'against' 'Yorkshire' 'at'
 'Headingley' '.']","[22  6 30  6 37 16 35 37 29 16 21 15 22 22 10 22 16 38 28 12 21 21 15 29
 21 15 22 15 22  7]","[11  0  3  0 21  1 21 22 11 12 12 13 11 12 12 12 12 21 11 11 12 12 13 11
 12 13 11 13 11  0]",[3 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 0 0 0 0 0 0 0 0 0 3 0 5 0]
7,"['Hussain' ',' 'considered' 'surplus' 'to' 'England' ""'s"" 'one-day'
 'requirements' ',' 'struck' '158' ',' 'his' 'first' 'championship'
 'century' 'of' 'the' 'season' ',' 'as' 'Essex' 'reached' '372' 'and'
 'took' 'a' 'first' 'innings' 'lead' 'of' '82' '.']","[21  6 38 21 35 22 27 16 24  6 38 11  6 29 16 21 21 15 12 21  6 15 22 38
 11 10 38 12 16 21 21 15 11  7]","[11  0 21 11 13 11 11 12 12  0 21 11  0 11 12 12 12 13 11 12  0 17 11 21
 11  0 21 11 12 12 12 13 11  0]",[1 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0]
8,"['By' 'the' 'close' 'Yorkshire' 'had' 'turned' 'that' 'into' 'a' '37-run'
 'advantage' 'but' 'off-spinner' 'Such' 'had' 'scuttled' 'their' 'hopes'
 ',' 'taking' 'four' 'for' '24' 'in' '48' 'balls' 'and' 'leaving' 'them'
 'hanging' 'on' '119' 'for' 'five' 'and' 'praying' 'for' 'rain' '.']","[15 12 21 22 38 40 15 15 12 16 21 10 16 16 38 40 29 24  6 39 11 15 11 15
 11 24 10 39 28 39 15 11 15 11 10 39 15 21  7]","[13 11 12 11 21 22 17 13 11 12 12  0 11 12 21 22 11 12  0 21 11 13 11 13
 11 12  0 21 11 21 13 11 13 11  0 21 13 11  0]","[0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
9,"['At' 'the' 'Oval' ',' 'Surrey' 'captain' 'Chris' 'Lewis' ',' 'another'
 'man' 'dumped' 'by' 'England' ',' 'continued' 'to' 'silence' 'his'
 'critics' 'as' 'he' 'followed' 'his' 'four' 'for' '45' 'on' 'Thursday'
 'with' '80' 'not' 'out' 'on' 'Friday' 'in' 'the' 'match' 'against'
 'Warwickshire' '.']","[15 12 16  6 22 21 22 22  6 12 21 40 15 22  6 38 35 37 29 24 15 28 38 29
 11 15 11 15 22 15 11 30 33 15 22 15 12 21 15 22  7]","[13 11 12  0 11 12 12 12  0 11 12 21 13 11  0 21 22 22 11 12 17 11 21 11
 12 13 11 13 11 13 11 21 15 13 11 13 11 12 13 11  0]","[0 0 5 0 3 0 1 2 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 3 0]"
